quin és l’animal aquàtic més gran del món? ; (A) tauró blanc ; (B) balena blava ; (C) orca ; B
quin és el peix més gran del món? ; (A) peix lluna ; (B) tauró martell ; (C) tauró balena ; C
quin d’aquests és un mamífer marí? ; (A) balena geperuda ; (B) peix pallasso ; (C) tauró tigre ; A
quin animal marí té vuit braços? ; (A) medusa ; (B) pop ; (C) calamarsa gegant ; B
quin d’aquests animals viu normalment als esculls de coral? ; (A) peix pallasso ; (B) ós polar ; (C) àguila marina ; A
quin animal marí té una closca dura per protegir-se? ; (A) tortuga marina ; (B) dofí ; (C) cavallet de mar ; A
quin mamífer marí és conegut com el dofí més gran? ; (A) foca monjo ; (B) orca ; (C) lleó marí ; B
quin animal marí s’alimenta sobretot de plàncton filtrant aigua? ; (A) tauró balena ; (B) morena ; (C) barracuda ; A
quin d’aquests animals pot produir tinta per defensar-se? ; (A) cavallet de mar ; (B) calamarsa ; (C) estrella de mar ; B
quin animal marí té un “banya” que sembla la d’un unicorn? ; (A) narval ; (B) beluga ; (C) manatí ; A
quin animal marí és famós pels seus salts i la seva intel·ligència? ; (A) dofí ; (B) rajada ; (C) tauró toro ; A
quin d’aquests animals marins té un esquelet de cartílag? ; (A) tauró ; (B) tortuga ; (C) foca ; A
quin animal marí té forma d’estrella? ; (A) medusa ; (B) estrella de mar ; (C) cranc ; B
quin d’aquests animals viu en aigües polars? ; (A) peix pallasso ; (B) pingüí emperador ; (C) barracuda ; B
quin animal marí es pot inflar per semblar més gran? ; (A) peix globus ; (B) sardina ; (C) tonyina ; A
quin d’aquests animals és un crustaci marí? ; (A) cranc ; (B) cavallet de mar ; (C) dofí ; A
quin animal marí té grans pinces i una cua poderosa? ; (A) anguila ; (B) llamàntol ; (C) peix espasa ; B
quin animal marí té el cos gelatinos i tentacles urticants? ; (A) medusa ; (B) pop ; (C) foca ; A
quin d’aquests animals marins pot viure enganxat a les roques? ; (A) musclo ; (B) tauró ; (C) orca ; A
quin animal marí caça usant una espasa al cap? ; (A) peix espasa ; (B) peix pallasso ; (C) sardina ; A
