quin és el mamífer terrestre més gran? ; (A) elefant africà ; (B) rinoceront blanc ; (C) hipopòtam ; A
quin animal és conegut com el rei de la selva? ; (A) tigre ; (B) lleó ; (C) jaguar ; B
quin d’aquests animals és un marsupial? ; (A) zebra ; (B) cangur ; (C) girafa ; B
quin mamífer té el coll més llarg? ; (A) zebra ; (B) girafa ; (C) iac ; B
quin d’aquests mamífers viu en ramats a la sabana? ; (A) elefant ; (B) ós polar ; (C) panda ; A
quin animal sol hivernar a l’hivern? ; (A) ós bru ; (B) lleopard ; (C) linx ; A
quin d’aquests animals és un gran depredador de l’Àrtic? ; (A) ren ; (B) ós polar ; (C) guineu roja ; B
quin mamífer terrestre pot córrer molt de pressa a la sabana? ; (A) guepard ; (B) hipopòtam ; (C) orangutan ; A
quin animal té una trompa llarga i ullals d’ivori? ; (A) elefant ; (B) rinoceront ; (C) búfal ; A
quin d’aquests animals té un banya al nas? ; (A) hipopòtam ; (B) rinoceront ; (C) zebra ; B
quin mamífer té una melena característica al voltant del coll? ; (A) lleó ; (B) ant ; (C) llop ; A
quin d’aquests és un primat? ; (A) lleopard ; (B) ximpanzé ; (C) coala ; B
quin animal es desplaça sobretot penjant-se de les branques? ; (A) peresós ; (B) rinoceront ; (C) cérvol ; A
quin d’aquests animals té ratlles blanques i negres? ; (A) zebra ; (B) puma ; (C) senglar ; A
quin mamífer té gepes on emmagatzema greix? ; (A) cavall ; (B) camell ; (C) llop ; B
quin d’aquests animals sol viure sota terra? ; (A) talp ; (B) girafa ; (C) tigre ; A
quin animal es reconeix per les seves grans orelles i dents per rosegar? ; (A) ratolí ; (B) guineu ; (C) cangur ; A
quin d’aquests animals viu a la sabana africana? ; (A) ós panda ; (B) lleó ; (C) pingüí ; B
quin mamífer és conegut per construir preses als rius? ; (A) castor ; (B) dofí ; (C) cérvol ; A
quin d’aquests mamífers s’alimenta sobretot de bambú? ; (A) panda gegant ; (B) tigre ; (C) lleó marí ; A
