quin és l’ocell més alt del món? ; (A) estruç ; (B) àguila reial ; (C) pingüí ; A
quin ocell és conegut per imitar sons i paraules? ; (A) pardal ; (B) lloro ; (C) colom ; B
quin d’aquests ocells no pot volar? ; (A) estruç ; (B) gavina ; (C) corb ; A
quin ocell és símbol de la pau? ; (A) colom ; (B) voltor ; (C) mussol ; A
quin d’aquests ocells caça de nit i té uns ulls molt grans? ; (A) gavina ; (B) mussol ; (C) ànec ; B
quin ocell sol migrar llargues distàncies cada any? ; (A) flamenc ; (B) cigonya ; (C) gallina ; B
quin és l’ocell nacional dels Estats Units? ; (A) àguila calba ; (B) còndor ; (C) falcó pelegrí ; A
quin ocell és famós per la seva llarga cua de colors i el ball de festeig? ; (A) paó ; (B) ànec ; (C) colom ; A
quin d’aquests ocells s’alimenta sobretot de peixos? ; (A) pelicà ; (B) gallina ; (C) pardal ; A
quin ocell posa ous però viu al gel de l’Antàrtida? ; (A) pingüí emperador ; (B) cigonya ; (C) corb ; A
quin d’aquests ocells és carronyaire? ; (A) colibrí ; (B) voltor ; (C) lloro ; B
quin ocell té un bec gran que li serveix per guardar peixos? ; (A) pelicà ; (B) mussol ; (C) gavina ; A
quin d’aquests ocells pot volar enrere? ; (A) colibrí ; (B) ànec ; (C) àguila ; A
quin ocell sol viure a ciutats i places? ; (A) colom ; (B) estruç ; (C) còndor ; A
quin d’aquests ocells posa ous molt grans en relació amb el cos? ; (A) estruç ; (B) colibrí ; (C) corb ; A
quin ocell s’associa sovint amb la nit i la saviesa? ; (A) mussol ; (B) ànec ; (C) gallina ; A
quin d’aquests ocells té plomatge rosat per la seva dieta? ; (A) flamenc ; (B) corb ; (C) ànec ; A
quin ocell marí sol planar a prop dels vaixells? ; (A) gavina ; (B) colom ; (C) gall ; A
quin d’aquests ocells sol viure en galliners domèstics? ; (A) gallina ; (B) còndor ; (C) àguila ; A
quin ocell canta a trenc d’alba i és símbol del camp? ; (A) gall ; (B) voltor ; (C) estruç ; A
